year,latitude,longitude,co2
1/1/2015,-18.25,35,9.02
1/1/2015,-15,30,4.4
1/1/2015,-13.5,34,1.28
1/1/2015,-12.5,18.5,34.76
1/1/2015,-12.1667,44.25,0.17
1/1/2015,-6,35,12.45
1/1/2015,-4.5833,55.6667,0.54
1/1/2015,-3.5,30,0.48
1/1/2015,-2,30,0.92
1/1/2015,-1,11.75,5.29
1/1/2015,-1,15,3.23
1/1/2015,0,25,4.7
1/1/2015,1,7,0.11
1/1/2015,1,32,5.32
1/1/2015,1,38,14.55
1/1/2015,2,10,5.84
1/1/2015,6,12,7.22
1/1/2015,6.5,-9.5,0.91
1/1/2015,7,21,0.3
1/1/2015,8,-5,10.85
1/1/2015,8,-5,10.85
1/1/2015,8,-2,14.45
1/1/2015,8,1.1667,2.64
1/1/2015,8,38,12.38
1/1/2015,8.5,-11.5,1.15
1/1/2015,9.5,2.25,6.35
1/1/2015,10,8,103.82
1/1/2015,10,49,0.66
1/1/2015,11,-10,2.45
1/1/2015,11.5,43,0.74
1/1/2015,12,-15,0.27
1/1/2015,13,-2,2.78
1/1/2015,13.4667,-16.5667,0.52
1/1/2015,14,-14,8.11
1/1/2015,15,19,0.71
1/1/2015,15,30,16.3
1/1/2015,15,39,0.72
1/1/2015,16,8,2.09
1/1/2015,17,-4,1.43
1/1/2015,20,-12,2.35
1/1/2015,25,17,52.16
1/1/2015,25,17,52.16
1/1/2015,27,30,200.42
1/1/2015,28,3,150.59
1/1/2015,32,-5,61.04
1/1/2015,34,9,26.4
1/1/2015,-8.55,125.5167,0.51
1/1/2015,-5,120,459.63
1/1/2015,1.3667,103.8,60.72
1/1/2015,2.5,112.5,245.1
1/1/2015,3.25,73,1.46
1/1/2015,4.5,114.6667,10.36
1/1/2015,4.5,114.6667,10.36
1/1/2015,7,81,20.71
1/1/2015,13,105,6.98
1/1/2015,13,122,113.82
1/1/2015,15,48,20.38
1/1/2015,15,100,320.57
1/1/2015,16,106,184.5
1/1/2015,16,106,184.5
1/1/2015,20,77,"2,276.41"
1/1/2015,21,57,64.22
1/1/2015,22,98,23.44
1/1/2015,22,98,23.44
1/1/2015,22.1667,113.55,1.41
