Year,Population,Country,CO2 (MT),Country Code,Continent,Continent_Code,GDP
1/1/1961,30739250,Spain,53.6069,ESP,Europe,EU,13834300571.4849
1/1/1961,1225077,Estonia,10.5411,EST,Europe,EU,
1/1/1961,22671191,Ethiopia,0.34063,ETH,Africa,AF,
1/1/1961,4461005,Finland,14.9217,FIN,Europe,EU,5921659485.03284
1/1/1961,407249,Fiji,0.16854,FJI,Oceania,OC,116987784.913739
1/1/1961,47240543,France,281.3733,FRA,Europe,EU,68346741504.4257
1/1/1961,45932,Micronesia,,FSM,Oceania,OC,
1/1/1961,505799,Gabon,0.16488,GAB,Africa,AF,167637907.381723
1/1/1961,52800000,United Kingdom,588.6148,GBR,Europe,EU,76694360635.9159
1/1/1961,3703600,Georgia,6.7692,GEO,Asia,AS,
1/1/1961,3703600,Georgia,6.7692,GEO,Europe,EU,
1/1/1961,6848295,Ghana,1.3447,GHA,Africa,AF,1302674324.88378
1/1/1961,3552065,Guinea,0.61555,GIN,Africa,AF,
1/1/1961,372445,Gambia,0.021984,GMB,Africa,AF,
1/1/1961,622761,Guinea-Bissau,0.029312,GNB,Africa,AF,
1/1/1961,258791,Equatorial Guinea,0.021984,GNQ,Africa,AF,
1/1/1961,8398050,Greece,9.8084,GRC,Europe,EU,5016048786.22753
1/1/1961,91327,Grenada,0.01832,GRD,North America,NA,
1/1/1961,33700,Greenland,0.29312,GRL,North America,NA,
1/1/1961,4336143,Guatemala,1.4065,GTM,North America,NA,1076699900
1/1/1961,589274,Guyana,0.73646,GUY,South America,SA,185848451.262906
1/1/1961,3168100,Hong Kong,3.3701,HKG,Asia,AS,1383681651.13776
1/1/1961,2096409,Honduras,0.73629,HND,North America,NA,356200000
1/1/1961,4167292,Croatia,6.0123,HRV,Europe,EU,
1/1/1961,3941944,Haiti,0.29661,HTI,North America,NA,
1/1/1961,10029321,Hungary,48.9299,HUN,Europe,EU,
1/1/1961,90098394,Indonesia,26.0016,IDN,Asia,AS,
1/1/1961,459642165,India,130.3929,IND,Asia,AS,38709096075.0961
1/1/1961,2824400,Ireland,12.3526,IRL,Europe,EU,2088012282.35667
1/1/1961,22480372,Iran,36.5088,IRN,Asia,AS,4426949094.38944
1/1/1961,7475350,Iraq,8.7092,IRQ,Asia,AS,1831700364.04369
1/1/1961,179029,Iceland,1.0916,ISL,Europe,EU,253885656.329253
1/1/1961,2185000,Israel,7.0608,ISR,Asia,AS,3138500000
1/1/1961,50536350,Italy,124.3749,ITA,Europe,EU,44842760293.1924
1/1/1961,1651073,Jamaica,2.1279,JAM,North America,NA,748028839.423211
1/1/1961,973988,Jordan,0.9774,JOR,Asia,AS,
1/1/1961,94943000,Japan,282.7869,JPN,Asia,AS,53508617739.3778
1/1/1961,10349414,Kazakhstan,115.6748,KAZ,Asia,AS,
1/1/1961,10349414,Kazakhstan,115.6748,KAZ,Europe,EU,
1/1/1961,8377696,Kenya,2.3986,KEN,Africa,AF,792959472.134266
1/1/1961,2255900,Kyrgyzstan,4.9493,KGZ,Asia,AS,
1/1/1961,5872966,Cambodia,0.28579,KHM,Asia,AS,642857134.285714
1/1/1961,42229,Kiribati,0.007328,KIR,Oceania,OC,
1/1/1961,51192,Saint Kitts and Nevis,,KNA,North America,NA,12483229.3064224
1/1/1961,25765673,South Korea,14.4487,KOR,Asia,AS,2417237753.94419
1/1/1961,300576,Kuwait,9.9734,KWT,Asia,AS,
1/1/1961,1864619,Lebanon,2.6785,LBN,Asia,AS,
1/1/1961,1142302,Liberia,0.16122,LBR,Africa,AF,183920900
1/1/1961,1498071,Libya,1.1945,LBY,Africa,AF,
1/1/1961,90716,Saint Lucia,0.01832,LCA,North America,NA,
1/1/1961,16893,Liechtenstein,,LIE,Europe,EU,
1/1/1961,10111637,Sri Lanka,2.3336,LKA,Asia,AS,1444327731.09244
1/1/1961,852890,Lesotho,,LSO,Africa,AF,35699286.0142797
1/1/1961,2823550,Lithuania,9.7744,LTU,Europe,EU,
1/1/1961,316845,Luxembourg,11.581,LUX,Europe,EU,704145671.350213
1/1/1961,2152681,Latvia,6.2433,LVA,Europe,EU,
1/1/1961,170462,Macao,0.069616,MAC,Asia,AS,
1/1/1961,12710581,Morocco,3.7714,MAR,Africa,AF,2025689536.60705
1/1/1961,2605000,Moldova,9.3658,MDA,Europe,EU,
1/1/1961,5223568,Madagascar,0.35541,MDG,Africa,AF,699161943.856733
1/1/1961,92325,Maldives,,MDV,Asia,AS,
1/1/1961,38966056,Mexico,65.2399,MEX,North America,NA,14153952000
1/1/1961,15051,Marshall Islands,,MHL,Oceania,OC,
1/1/1961,1507654,Macedonia,3.949,MKD,Europe,EU,
1/1/1961,5322266,Mali,0.11725,MLI,Africa,AF,
1/1/1961,325250,Malta,0.29312,MLT,Europe,EU,
1/1/1961,22211624,Myanmar,2.5903,MMR,Asia,AS,
1/1/1961,491140,Montenegro,0.70236,MNE,Europe,EU,
1/1/1961,982178,Mongolia,1.3923,MNG,Asia,AS,
1/1/1961,7342111,Mozambique,2.6299,MOZ,Africa,AF,
1/1/1961,875581,Mauritania,0.047632,MRT,Africa,AF,107726181.218304
1/1/1961,680757,Mauritius,0.18686,MUS,Africa,AF,
1/1/1961,3747753,Malawi,0.37333,MWI,Africa,AF,174580139.768776
1/1/1961,8417824,Malaysia,4.6849,MYS,Asia,AS,1901868548.28172
1/1/1961,649279,Namibia,,NAM,Africa,AF,
1/1/1961,81200,New Caledonia,0.88669,NCL,Oceania,OC,
